Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C13,C14",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,2
L_Ferrite,L2,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C14709,1
1u,"C1,C2,C3,C4,C5,C6,C7,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,8
47u,"C10,C12",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,2
4.7u,"C11,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779,2
AO3400A,Q1,SOT-23_Handsoldering,C20917,1
2.2,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22939,1
D_Schottky,"D1,D2,D3",D_SMA,C2480,3
10k,"R1,R3,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,3
SCD40-D-R2,U2,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,C3037696,1
Conn_Display,J1,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,C5362165,1
47u,L1,L_10.4x10.4_H4.8,C9934,1
